id, genre
0, Drama
1, Drama
2, Drama
3, Comedy
4, Comedy
4, Drama
4, Fantasy
5, N/A
6, Comedy
6, Fantasy
7, Drama
7, Romance
8, Comedy
9, Comedy
9, Drama
9, Sci-Fi
10, Mystery
10, Thriller
11, Drama
12, Documentary
12, Biography
13, Comedy
13, Drama
14, Animation
14, Adventure
14, Comedy
15, Drama
16, Crime
16, Fantasy
16, Mystery
17, N/A
18, N/A
19, Drama
20, Drama
21, Comedy
21, Drama
22, History
23, Documentary
24, Drama
25, Comedy
25, Drama
26, N/A
27, Animation
27, Drama
27, History
28, Biography
28, Drama
28, Music
29, Comedy
29, Drama
30, N/A
31, Drama
31, History
32, Animation
32, Comedy
32, Musical
33, Thriller
34, Crime
34, Drama
34, Romance
35, Comedy
35, Mystery
36, N/A
37, Comedy
38, Drama
38, Sci-Fi
38, Thriller
39, Drama
40, N/A
41, Crime
41, Drama
41, Mystery
42, Comedy
42, Drama
42, Music
43, Drama
43, Romance
44, Comedy
45, Drama
46, Documentary
47, N/A
48, Drama
49, Comedy
50, Documentary
51, Documentary
51, Music
52, Drama
52, Mystery
53, Animation
53, Action
53, Comedy
54, Comedy
54, Fantasy
54, Sci-Fi
55, N/A
56, Biography
56, Comedy
56, Drama
57, N/A
58, N/A
59, Action
59, Fantasy
59, Horror
60, Crime
60, Drama
60, Thriller
61, Drama
62, Drama
63, Comedy
63, Music
64, Comedy
64, Drama
65, Action
65, Drama
66, Horror
67, Short
67, Sci-Fi
68, Crime
68, Drama
69, Comedy
69, Drama
69, Romance
70, Horror
70, Mystery
70, Thriller
71, Drama
71, Fantasy
72, Documentary
73, N/A
74, N/A
75, Horror
75, Thriller
76, Comedy
76, Romance
77, Crime
77, Drama
77, Thriller
78, Thriller
79, Musical
79, Adventure
79, Family
80, Action
80, Comedy
80, Crime
81, Comedy
82, Documentary
83, Drama
83, Mystery
83, Thriller
84, Crime
84, Drama
85, Animation
85, Comedy
86, Drama
87, N/A
88, N/A
89, Documentary
90, Comedy
91, Romance
92, Comedy
93, N/A
94, Drama
95, Biography
95, Drama
95, History
96, Comedy
97, Documentary
98, Drama
98, Romance
99, Comedy
99, Drama
100, Drama
101, Animation
101, Sci-Fi
101, Adventure
102, Action
102, Comedy
103, N/A
104, Documentary
105, Drama
105, Romance
105, Thriller
106, Crime
106, Drama
107, Drama
107, Romance
108, Drama
109, Action
109, Crime
109, Drama
110, Animation
110, Comedy
110, Family
111, Comedy
111, Drama
112, Horror
113, Action
113, Adventure
113, Thriller
114, Drama
115, Drama
115, Horror
116, Horror
116, Mystery
116, Thriller
117, Drama
117, Sport
118, Documentary
118, Sport
119, N/A
120, N/A
121, Drama
122, Drama
122, Romance
123, Drama
124, Drama
124, Horror
125, Crime
125, Drama
125, Thriller
126, N/A
127, Comedy
127, Drama
128, Crime
128, Western
129, Drama
129, Mystery
129, Thriller
130, Animation
130, Adventure
130, Comedy
131, N/A
132, Animation
132, Family
132, Fantasy
133, Comedy
133, Drama
134, Drama
135, Comedy
135, Horror
135, Mystery
136, N/A
137, Comedy
138, Adventure
138, Comedy
138, Romance
139, Crime
140, N/A
141, Action
141, Adventure
141, Sci-Fi
142, N/A
143, Comedy
143, Drama
144, Horror
145, N/A
146, Documentary
147, Comedy
147, Musical
147, Romance
148, Action
148, Crime
148, Drama
149, Adventure
149, Drama
149, Romance
150, Comedy
150, Crime
150, Drama
151, Drama
151, Mystery
151, Thriller
152, Biography
153, Drama
154, Drama
154, Romance
154, Sport
155, Adventure
155, Comedy
155, Family
156, Action
156, Comedy
156, Drama
157, Horror
158, Drama
159, Comedy
159, Documentary
160, Action
160, Adventure
160, Fantasy
161, Drama
161, History
161, Thriller
162, Drama
163, Animation
163, Adventure
163, Family
164, Drama
165, Crime
165, Drama
166, Drama
167, Action
167, Drama
168, Comedy
168, Horror
169, Action
169, Adventure
169, Sci-Fi
170, Crime
170, Drama
170, Mystery
171, Documentary
171, Music
172, Drama
173, Action
173, Thriller
174, Action
174, Adventure
174, Crime
175, Documentary
176, Drama
176, Fantasy
176, Horror
177, Drama
177, Romance
178, Comedy
179, Action
179, Adventure
179, Drama
180, N/A
181, Drama
181, Romance
182, Comedy
183, Comedy
183, Drama
183, Fantasy
184, Animation
184, Comedy
185, Documentary
186, Animation
186, Action
186, Comedy
187, Action
187, Adventure
188, Drama
189, Drama
190, Adventure
190, Comedy
190, Drama
191, Crime
191, Drama
191, Thriller
